index;roots;terms;sents
749;sehen;eyecatcher;"vor allem voll der eyecatcher !! sieht man ja garnicht mehr. ;"
750;habe;anfängerauto;habe einen b4 mit 2.0e aus 94 als anfängerauto.
751;habe;b4;habe einen b4 mit 2.0e aus 94 als anfängerauto.
752;habe;2.0e;habe einen b4 mit 2.0e aus 94 als anfängerauto.
753;verbrauch;verbrauch;verbrauch im sommer
754;verbrauch;sommer;verbrauch im sommer
755;winter;winter;-im winter
756;winter;-im;-im winter
757;winter;-im winter;-im winter
758;steuer;steuer;steuer im jahr
759;steuer;jahr;steuer im jahr
760;vorteile;135€. versicherung;135€. versicherung etwa 600€. vorteile zum b3: viel größerer kofferraum und bei den späten modellen bessere sicherheitskomponenten und (oft) bessere ausstattung.
761;vorteile;modellen;135€. versicherung etwa 600€. vorteile zum b3: viel größerer kofferraum und bei den späten modellen bessere sicherheitskomponenten und (oft) bessere ausstattung.
762;vorteile;b3;135€. versicherung etwa 600€. vorteile zum b3: viel größerer kofferraum und bei den späten modellen bessere sicherheitskomponenten und (oft) bessere ausstattung.
763;vorteile;ausstattung;135€. versicherung etwa 600€. vorteile zum b3: viel größerer kofferraum und bei den späten modellen bessere sicherheitskomponenten und (oft) bessere ausstattung.
764;vorteile;kofferraum;135€. versicherung etwa 600€. vorteile zum b3: viel größerer kofferraum und bei den späten modellen bessere sicherheitskomponenten und (oft) bessere ausstattung.
765;vorteile;vorteile;135€. versicherung etwa 600€. vorteile zum b3: viel größerer kofferraum und bei den späten modellen bessere sicherheitskomponenten und (oft) bessere ausstattung.
766;vorteile;sicherheitskomponenten;135€. versicherung etwa 600€. vorteile zum b3: viel größerer kofferraum und bei den späten modellen bessere sicherheitskomponenten und (oft) bessere ausstattung.
767;vorteile;versicherung;135€. versicherung etwa 600€. vorteile zum b3: viel größerer kofferraum und bei den späten modellen bessere sicherheitskomponenten und (oft) bessere ausstattung.
768;nachteile;verbrauch;nachteile: größer, schwerer (wie schon genannt) und je nach dem höherer verbrauch.
769;nachteile;nachteile;nachteile: größer, schwerer (wie schon genannt) und je nach dem höherer verbrauch.
770;fahren;hallo;hallo, audi 80 fährt man nur noch aus leidenschaft.
771;fahren;leidenschaft;hallo, audi 80 fährt man nur noch aus leidenschaft.
772;fahren;audi;hallo, audi 80 fährt man nur noch aus leidenschaft.
773;auto können;super;wenn man viel selber machen kann ist das ein super auto.
774;auto können;auto;wenn man viel selber machen kann ist das ein super auto.
775;geben;muss;es gibt kein audi mit 26+ jahren wo man nicht praktisch alles ertüchtigen muss.
776;geben;audi;es gibt kein audi mit 26+ jahren wo man nicht praktisch alles ertüchtigen muss.
777;geben;jahren;es gibt kein audi mit 26+ jahren wo man nicht praktisch alles ertüchtigen muss.
778;laufen;km;egal mit wieviel km gelaufen.
779;nicht zeitgemäß sein;verbrauch;verbrauch und leistung sind nicht mehr zeitgemäß.
780;nicht zeitgemäß sein;leistung;verbrauch und leistung sind nicht mehr zeitgemäß.
781;finden;autoampel;über autoampel findest du günstige typenklassen.  
782;finden;typenklassen;über autoampel findest du günstige typenklassen.  
783;modern sein;autos;vielleicht sind ja autos dabei die wesentlich moderner sind.
784;danke;antworten;danke für all die antworten
785;danke;danke;danke für all die antworten
786;rande;mal rande;mal am rande:
787;rande;rande;mal am rande:
788;werden;jahr;meiner wird nächstes jahr 30 und das h interessiert mich überhaupt nicht!
789;werden;h;meiner wird nächstes jahr 30 und das h interessiert mich überhaupt nicht!
790;lagebernd;super;super lagebernd
791;wissen;fahren;".... jetzt wissen wir es ; sodele, jetzt geb ich auch mal noch meinen senf dazu, ich fahr seit nem jahr nen 2.0 80er b4 avant, sehr entspannt zum fahren und mega günstig von steuer und versicherung her (hab nur haftpflicht und sf26, bin bei 450€ für steuer + versicherung)."
792;wissen;€;".... jetzt wissen wir es ; sodele, jetzt geb ich auch mal noch meinen senf dazu, ich fahr seit nem jahr nen 2.0 80er b4 avant, sehr entspannt zum fahren und mega günstig von steuer und versicherung her (hab nur haftpflicht und sf26, bin bei 450€ für steuer + versicherung)."
793;wissen;steuer;".... jetzt wissen wir es ; sodele, jetzt geb ich auch mal noch meinen senf dazu, ich fahr seit nem jahr nen 2.0 80er b4 avant, sehr entspannt zum fahren und mega günstig von steuer und versicherung her (hab nur haftpflicht und sf26, bin bei 450€ für steuer + versicherung)."
794;wissen;hab;".... jetzt wissen wir es ; sodele, jetzt geb ich auch mal noch meinen senf dazu, ich fahr seit nem jahr nen 2.0 80er b4 avant, sehr entspannt zum fahren und mega günstig von steuer und versicherung her (hab nur haftpflicht und sf26, bin bei 450€ für steuer + versicherung)."
795;wissen;senf;".... jetzt wissen wir es ; sodele, jetzt geb ich auch mal noch meinen senf dazu, ich fahr seit nem jahr nen 2.0 80er b4 avant, sehr entspannt zum fahren und mega günstig von steuer und versicherung her (hab nur haftpflicht und sf26, bin bei 450€ für steuer + versicherung)."
796;wissen;jahr;".... jetzt wissen wir es ; sodele, jetzt geb ich auch mal noch meinen senf dazu, ich fahr seit nem jahr nen 2.0 80er b4 avant, sehr entspannt zum fahren und mega günstig von steuer und versicherung her (hab nur haftpflicht und sf26, bin bei 450€ für steuer + versicherung)."
797;wissen;sf26;".... jetzt wissen wir es ; sodele, jetzt geb ich auch mal noch meinen senf dazu, ich fahr seit nem jahr nen 2.0 80er b4 avant, sehr entspannt zum fahren und mega günstig von steuer und versicherung her (hab nur haftpflicht und sf26, bin bei 450€ für steuer + versicherung)."
798;wissen;b4;".... jetzt wissen wir es ; sodele, jetzt geb ich auch mal noch meinen senf dazu, ich fahr seit nem jahr nen 2.0 80er b4 avant, sehr entspannt zum fahren und mega günstig von steuer und versicherung her (hab nur haftpflicht und sf26, bin bei 450€ für steuer + versicherung)."
799;wissen;versicherung;".... jetzt wissen wir es ; sodele, jetzt geb ich auch mal noch meinen senf dazu, ich fahr seit nem jahr nen 2.0 80er b4 avant, sehr entspannt zum fahren und mega günstig von steuer und versicherung her (hab nur haftpflicht und sf26, bin bei 450€ für steuer + versicherung)."
800;wissen;sodele;".... jetzt wissen wir es ; sodele, jetzt geb ich auch mal noch meinen senf dazu, ich fahr seit nem jahr nen 2.0 80er b4 avant, sehr entspannt zum fahren und mega günstig von steuer und versicherung her (hab nur haftpflicht und sf26, bin bei 450€ für steuer + versicherung)."
801;wissen;fahr;".... jetzt wissen wir es ; sodele, jetzt geb ich auch mal noch meinen senf dazu, ich fahr seit nem jahr nen 2.0 80er b4 avant, sehr entspannt zum fahren und mega günstig von steuer und versicherung her (hab nur haftpflicht und sf26, bin bei 450€ für steuer + versicherung)."
802;machen;stelle;würde an deiner stelle auch nur ne haftpflicht machen, alles andere zu teuer und macht keinen sinn.  
803;machen;sinn;würde an deiner stelle auch nur ne haftpflicht machen, alles andere zu teuer und macht keinen sinn.  
804;machen;haftpflicht;würde an deiner stelle auch nur ne haftpflicht machen, alles andere zu teuer und macht keinen sinn.  
805;verbrauchen;90ps;mein audi verbraucht außerdem echt viel für 90ps(innerorts mind. 10, außerorts 7,5 wenn du extrem sparsam fährst).  
806;verbrauchen;mind.;mein audi verbraucht außerdem echt viel für 90ps(innerorts mind. 10, außerorts 7,5 wenn du extrem sparsam fährst).  
807;verbrauchen;audi;mein audi verbraucht außerdem echt viel für 90ps(innerorts mind. 10, außerorts 7,5 wenn du extrem sparsam fährst).  
808;verbrauchen;innerorts;mein audi verbraucht außerdem echt viel für 90ps(innerorts mind. 10, außerorts 7,5 wenn du extrem sparsam fährst).  
809;nehmen;stelle;"; würde allerdings an deiner stelle auf jeden fall den polo nehmen!"
810;nehmen;fall;"; würde allerdings an deiner stelle auf jeden fall den polo nehmen!"
811;nehmen;polo;"; würde allerdings an deiner stelle auf jeden fall den polo nehmen!"
812;kennen;bescheid;du kennst den vorbesitzer & schrauber, der dir sicher gern mal beim schrauben hilft, du weißt über die probleme bescheid und der preis wird fair sein.
813;kennen;preis;du kennst den vorbesitzer & schrauber, der dir sicher gern mal beim schrauben hilft, du weißt über die probleme bescheid und der preis wird fair sein.
814;kennen;schrauber;du kennst den vorbesitzer & schrauber, der dir sicher gern mal beim schrauben hilft, du weißt über die probleme bescheid und der preis wird fair sein.
815;kennen;vorbesitzer;du kennst den vorbesitzer & schrauber, der dir sicher gern mal beim schrauben hilft, du weißt über die probleme bescheid und der preis wird fair sein.
816;kennen;schrauben;du kennst den vorbesitzer & schrauber, der dir sicher gern mal beim schrauben hilft, du weißt über die probleme bescheid und der preis wird fair sein.
817;kennen;probleme;du kennst den vorbesitzer & schrauber, der dir sicher gern mal beim schrauben hilft, du weißt über die probleme bescheid und der preis wird fair sein.
818;haben;budget;außerdem, du hast dann noch puffer im budget für anstehende reperaturen.
819;haben;puffer;außerdem, du hast dann noch puffer im budget für anstehende reperaturen.
820;können;karre;und wenn man sich zurück hält, kann man so ne karre relativ sparsam fahren.
821;hey;risiko;"besser als ein risiko meiner ansicht nach  ; hey zusammen, ;   "
822;hey;ansicht;"besser als ein risiko meiner ansicht nach  ; hey zusammen, ;   "
823;entscheiden;zeit;"; ein bisschen zeit ist ins land gegangen und ich habe mich letztendlich für den polo entschieden."
824;entscheiden;polo;"; ein bisschen zeit ist ins land gegangen und ich habe mich letztendlich für den polo entschieden."
825;entscheiden;land;"; ein bisschen zeit ist ins land gegangen und ich habe mich letztendlich für den polo entschieden."
826;klein;gewicht;klein, sparsam aber trotzdem sehr lustig zu fahren bei dem geringen gewicht.
827;klein;klein;klein, sparsam aber trotzdem sehr lustig zu fahren bei dem geringen gewicht.
828;überraschen;langstreckentauglichkeit;ich bin echt überrascht - vor allem von der langstreckentauglichkeit.
829;gefahren;mal 600 km;mal eben 600km gefahren ohne probleme.
830;gefahren;km;mal eben 600km gefahren ohne probleme.
831;gefahren;probleme;mal eben 600km gefahren ohne probleme.
832;gefahren;gefahren;mal eben 600km gefahren ohne probleme.
833;machen;hammer;schon einiges gemacht und die informationsvielfalt und teilesituation ist der hammer.
834;machen;teilesituation;schon einiges gemacht und die informationsvielfalt und teilesituation ist der hammer.
835;machen;informationsvielfalt;schon einiges gemacht und die informationsvielfalt und teilesituation ist der hammer.
836;lesen;situation;also falls irgendwer das hier liest und sich in einer gleichen situation befindet wie ich sie anfangs beschrieben habe:
837;können;startauto;mit einem polo 86c kann man glaube ich als günstiges startauto nicht viel falsch machen.
838;können;polo;mit einem polo 86c kann man glaube ich als günstiges startauto nicht viel falsch machen.
839;is;lieblingsauto;"der 86c is das lieblingsauto meiner besseren hälfte,vor allem als steilheck ;"
840;is;86c;"der 86c is das lieblingsauto meiner besseren hälfte,vor allem als steilheck ;"
841;is;steilheck;"der 86c is das lieblingsauto meiner besseren hälfte,vor allem als steilheck ;"
842;is;hälfte;"der 86c is das lieblingsauto meiner besseren hälfte,vor allem als steilheck ;"
843;wollen;anfängerauto;"den wollte sie auch als anfängerauto,zumals auch nen kleiner kombi sein sollte ;"
844;wollen;kombi;"den wollte sie auch als anfängerauto,zumals auch nen kleiner kombi sein sollte ;"
845;wollen;nen;"den wollte sie auch als anfängerauto,zumals auch nen kleiner kombi sein sollte ;"
846;nicht haben;avant;"sie hatte allerdings nicht so viel glück,sie bekam nur nen 80 avant 2.6  ;   "
847;nicht haben;glück;"sie hatte allerdings nicht so viel glück,sie bekam nur nen 80 avant 2.6  ;   "
848;find;erfahrungen;"ich find deine fahrzeugwahl aber auch ganz cool,ich wünsche dir viel spaß und allzeit gute fahrt damit  ; und auch wenn es hier leider ins ot fallen wird,meinetwegen kannst dich hier auch gern noch mal mit erfahrungen melden ;"
849;find;fahrzeugwahl;"ich find deine fahrzeugwahl aber auch ganz cool,ich wünsche dir viel spaß und allzeit gute fahrt damit  ; und auch wenn es hier leider ins ot fallen wird,meinetwegen kannst dich hier auch gern noch mal mit erfahrungen melden ;"
850;find;fahrt;"ich find deine fahrzeugwahl aber auch ganz cool,ich wünsche dir viel spaß und allzeit gute fahrt damit  ; und auch wenn es hier leider ins ot fallen wird,meinetwegen kannst dich hier auch gern noch mal mit erfahrungen melden ;"
851;find;cool;"ich find deine fahrzeugwahl aber auch ganz cool,ich wünsche dir viel spaß und allzeit gute fahrt damit  ; und auch wenn es hier leider ins ot fallen wird,meinetwegen kannst dich hier auch gern noch mal mit erfahrungen melden ;"
852;find;spaß;"ich find deine fahrzeugwahl aber auch ganz cool,ich wünsche dir viel spaß und allzeit gute fahrt damit  ; und auch wenn es hier leider ins ot fallen wird,meinetwegen kannst dich hier auch gern noch mal mit erfahrungen melden ;"
853;find;allzeit;"ich find deine fahrzeugwahl aber auch ganz cool,ich wünsche dir viel spaß und allzeit gute fahrt damit  ; und auch wenn es hier leider ins ot fallen wird,meinetwegen kannst dich hier auch gern noch mal mit erfahrungen melden ;"
854;find;ot;"ich find deine fahrzeugwahl aber auch ganz cool,ich wünsche dir viel spaß und allzeit gute fahrt damit  ; und auch wenn es hier leider ins ot fallen wird,meinetwegen kannst dich hier auch gern noch mal mit erfahrungen melden ;"
855;sehen;bilder;"bilder sehen wir hier sowieso alle gern  ;   "
856;gruss;"; gruss";"; gruss"
857;gruss;gruss;"; gruss"
858;thomas;thomas;thomas
859;restauriere;audi;"ich restauriere gerade meinen audi coupe b3 quattro aber ich kann keine standard federn für die hinterseite finden und will ihn nicht tieferlegen vielleicht hat jemand von euch schon erfahrung gemacht  ; mit freundlichen grüßen lukas ;"
860;restauriere;hinterseite;"ich restauriere gerade meinen audi coupe b3 quattro aber ich kann keine standard federn für die hinterseite finden und will ihn nicht tieferlegen vielleicht hat jemand von euch schon erfahrung gemacht  ; mit freundlichen grüßen lukas ;"
861;restauriere;standard federn;"ich restauriere gerade meinen audi coupe b3 quattro aber ich kann keine standard federn für die hinterseite finden und will ihn nicht tieferlegen vielleicht hat jemand von euch schon erfahrung gemacht  ; mit freundlichen grüßen lukas ;"
862;restauriere;freundlichen grüßen lukas;"ich restauriere gerade meinen audi coupe b3 quattro aber ich kann keine standard federn für die hinterseite finden und will ihn nicht tieferlegen vielleicht hat jemand von euch schon erfahrung gemacht  ; mit freundlichen grüßen lukas ;"
863;restauriere;b3;"ich restauriere gerade meinen audi coupe b3 quattro aber ich kann keine standard federn für die hinterseite finden und will ihn nicht tieferlegen vielleicht hat jemand von euch schon erfahrung gemacht  ; mit freundlichen grüßen lukas ;"
864;restauriere;erfahrung;"ich restauriere gerade meinen audi coupe b3 quattro aber ich kann keine standard federn für die hinterseite finden und will ihn nicht tieferlegen vielleicht hat jemand von euch schon erfahrung gemacht  ; mit freundlichen grüßen lukas ;"
865;restauriere;coupe;"ich restauriere gerade meinen audi coupe b3 quattro aber ich kann keine standard federn für die hinterseite finden und will ihn nicht tieferlegen vielleicht hat jemand von euch schon erfahrung gemacht  ; mit freundlichen grüßen lukas ;"
866;restauriere;federn;"ich restauriere gerade meinen audi coupe b3 quattro aber ich kann keine standard federn für die hinterseite finden und will ihn nicht tieferlegen vielleicht hat jemand von euch schon erfahrung gemacht  ; mit freundlichen grüßen lukas ;"
867;restauriere;quattro;"ich restauriere gerade meinen audi coupe b3 quattro aber ich kann keine standard federn für die hinterseite finden und will ihn nicht tieferlegen vielleicht hat jemand von euch schon erfahrung gemacht  ; mit freundlichen grüßen lukas ;"
868;restauriere;grüßen;"ich restauriere gerade meinen audi coupe b3 quattro aber ich kann keine standard federn für die hinterseite finden und will ihn nicht tieferlegen vielleicht hat jemand von euch schon erfahrung gemacht  ; mit freundlichen grüßen lukas ;"
869;restauriere;audi coupe b3 quattro;"ich restauriere gerade meinen audi coupe b3 quattro aber ich kann keine standard federn für die hinterseite finden und will ihn nicht tieferlegen vielleicht hat jemand von euch schon erfahrung gemacht  ; mit freundlichen grüßen lukas ;"
870;restauriere;lukas;"ich restauriere gerade meinen audi coupe b3 quattro aber ich kann keine standard federn für die hinterseite finden und will ihn nicht tieferlegen vielleicht hat jemand von euch schon erfahrung gemacht  ; mit freundlichen grüßen lukas ;"
871;restauriere;standard;"ich restauriere gerade meinen audi coupe b3 quattro aber ich kann keine standard federn für die hinterseite finden und will ihn nicht tieferlegen vielleicht hat jemand von euch schon erfahrung gemacht  ; mit freundlichen grüßen lukas ;"
872;zum Beispiel;z.b.;z.b. hier mal suchen ...
873;?;https://www.ebay.de/.../i.html;https://www.ebay.de/.../i.html?
874;brechen;vorhandenen;"... ; sind die vorhandenen gebrochen ?"
875;geben;https://www.euautoteile.de/teil/spidan/8197449;"von spidan gibt's welche https://www.euautoteile.de/teil/spidan/8197449 ;"
876;geben;spidan;"von spidan gibt's welche https://www.euautoteile.de/teil/spidan/8197449 ;"
877;sportfahrwerk sein;vorherigen;"nein die vorherigen sind ein tieferes sportfahrwerk und ich muss ihn typisieren weil er aus deutschland kommt ;"
878;sportfahrwerk sein;deutschland;"nein die vorherigen sind ein tieferes sportfahrwerk und ich muss ihn typisieren weil er aus deutschland kommt ;"
879;sportfahrwerk sein;sportfahrwerk;"nein die vorherigen sind ein tieferes sportfahrwerk und ich muss ihn typisieren weil er aus deutschland kommt ;"
880;lieferbar werden;federn;"und die federn die passen würden sind nie lieferbar ;"
881;lieferbar werden;passen;"und die federn die passen würden sind nie lieferbar ;"
882;zitat;zitat;zitat:
883;schreiben;uhr;"; @lukashaas schrieb am 3. juni 2020 um 18:15:32 uhr: ;"
884;schreiben;@lukashaas;"; @lukashaas schrieb am 3. juni 2020 um 18:15:32 uhr: ;"
885;schreiben;juni;"; @lukashaas schrieb am 3. juni 2020 um 18:15:32 uhr: ;"
886;schreiben;18:15:32;"; @lukashaas schrieb am 3. juni 2020 um 18:15:32 uhr: ;"
887;lieferbar passen;federn;"und die federn die passen würden sind nie lieferbar ;"
888;lieferbar passen;passen;"und die federn die passen würden sind nie lieferbar ;"
889;finden;s2;"frag mal beim hersteller nach...irgendwo wird sich schon was finden ; oder schau mal ebäh-kleinanzeigen oder hier gäbs die federn vom s2 ;"
890;finden;schau;"frag mal beim hersteller nach...irgendwo wird sich schon was finden ; oder schau mal ebäh-kleinanzeigen oder hier gäbs die federn vom s2 ;"
891;finden;federn;"frag mal beim hersteller nach...irgendwo wird sich schon was finden ; oder schau mal ebäh-kleinanzeigen oder hier gäbs die federn vom s2 ;"
892;finden;hersteller;"frag mal beim hersteller nach...irgendwo wird sich schon was finden ; oder schau mal ebäh-kleinanzeigen oder hier gäbs die federn vom s2 ;"
893;finden;frag;"frag mal beim hersteller nach...irgendwo wird sich schon was finden ; oder schau mal ebäh-kleinanzeigen oder hier gäbs die federn vom s2 ;"
894;https://www.ebay.at/itm/143468827014;https://www.ebay.at/itm/143468827014;"https://www.ebay.at/itm/143468827014 ;"
895;ok;ok;"ok danke ;"
896;btw;tradition;btw: die von audi tradition sollten passen ?
897;btw;btw;btw: die von audi tradition sollten passen ?
898;btw;audi;btw: die von audi tradition sollten passen ?
899;?;https://shops.audi.com/.../schraubenfeder-893511115f-10;https://shops.audi.com/.../schraubenfeder-893511115f-10?
900;schneidern;sitze;hat auch schon jemand die sitze neu geschneidert
901;sitze;schriftzug;weil ich habe nur die normalen satain sitze ohne quattro schriftzug
902;sitze;sitze;weil ich habe nur die normalen satain sitze ohne quattro schriftzug
903;sitze;quattro;weil ich habe nur die normalen satain sitze ohne quattro schriftzug
904;sitze;satain;weil ich habe nur die normalen satain sitze ohne quattro schriftzug
905;blockieren;go verkehr;mein c3 hat seit rd. 2 jahren die schrullige angewohnheit, dass insb. bei hohen umgebungstemperaturen und bei stop an go verkehr wie etwa in der stadt die bremsen blockieren.
906;blockieren;stop;mein c3 hat seit rd. 2 jahren die schrullige angewohnheit, dass insb. bei hohen umgebungstemperaturen und bei stop an go verkehr wie etwa in der stadt die bremsen blockieren.
907;blockieren;rd .;mein c3 hat seit rd. 2 jahren die schrullige angewohnheit, dass insb. bei hohen umgebungstemperaturen und bei stop an go verkehr wie etwa in der stadt die bremsen blockieren.
908;blockieren;.;mein c3 hat seit rd. 2 jahren die schrullige angewohnheit, dass insb. bei hohen umgebungstemperaturen und bei stop an go verkehr wie etwa in der stadt die bremsen blockieren.
909;blockieren;hohen umgebungstemperaturen;mein c3 hat seit rd. 2 jahren die schrullige angewohnheit, dass insb. bei hohen umgebungstemperaturen und bei stop an go verkehr wie etwa in der stadt die bremsen blockieren.
910;blockieren;go;mein c3 hat seit rd. 2 jahren die schrullige angewohnheit, dass insb. bei hohen umgebungstemperaturen und bei stop an go verkehr wie etwa in der stadt die bremsen blockieren.
911;blockieren;verkehr;mein c3 hat seit rd. 2 jahren die schrullige angewohnheit, dass insb. bei hohen umgebungstemperaturen und bei stop an go verkehr wie etwa in der stadt die bremsen blockieren.
912;blockieren;rd . 2;mein c3 hat seit rd. 2 jahren die schrullige angewohnheit, dass insb. bei hohen umgebungstemperaturen und bei stop an go verkehr wie etwa in der stadt die bremsen blockieren.
913;blockieren;c3;mein c3 hat seit rd. 2 jahren die schrullige angewohnheit, dass insb. bei hohen umgebungstemperaturen und bei stop an go verkehr wie etwa in der stadt die bremsen blockieren.
914;blockieren;jahren;mein c3 hat seit rd. 2 jahren die schrullige angewohnheit, dass insb. bei hohen umgebungstemperaturen und bei stop an go verkehr wie etwa in der stadt die bremsen blockieren.
915;blockieren;rd;mein c3 hat seit rd. 2 jahren die schrullige angewohnheit, dass insb. bei hohen umgebungstemperaturen und bei stop an go verkehr wie etwa in der stadt die bremsen blockieren.
916;blockieren;bremsen;mein c3 hat seit rd. 2 jahren die schrullige angewohnheit, dass insb. bei hohen umgebungstemperaturen und bei stop an go verkehr wie etwa in der stadt die bremsen blockieren.
917;blockieren;schrullige angewohnheit;mein c3 hat seit rd. 2 jahren die schrullige angewohnheit, dass insb. bei hohen umgebungstemperaturen und bei stop an go verkehr wie etwa in der stadt die bremsen blockieren.
918;blockieren;umgebungstemperaturen;mein c3 hat seit rd. 2 jahren die schrullige angewohnheit, dass insb. bei hohen umgebungstemperaturen und bei stop an go verkehr wie etwa in der stadt die bremsen blockieren.
919;blockieren;stadt;mein c3 hat seit rd. 2 jahren die schrullige angewohnheit, dass insb. bei hohen umgebungstemperaturen und bei stop an go verkehr wie etwa in der stadt die bremsen blockieren.
920;blockieren;angewohnheit;mein c3 hat seit rd. 2 jahren die schrullige angewohnheit, dass insb. bei hohen umgebungstemperaturen und bei stop an go verkehr wie etwa in der stadt die bremsen blockieren.
921;bockelhard werden;bockelhard;das pedal wird dann bockelhard und irgendwann geht dann nix mehr.
922;bockelhard werden;pedal;das pedal wird dann bockelhard und irgendwann geht dann nix mehr.
923;möglich sein;weiterfahrt;erst nach einer längeren standzeit bzw. abkühlung ist die weiterfahrt dann möglich.
924;möglich sein;längeren standzeit;erst nach einer längeren standzeit bzw. abkühlung ist die weiterfahrt dann möglich.
925;möglich sein;abkühlung;erst nach einer längeren standzeit bzw. abkühlung ist die weiterfahrt dann möglich.
926;möglich sein;standzeit;erst nach einer längeren standzeit bzw. abkühlung ist die weiterfahrt dann möglich.
927;erneuern;bremssättel;zwischenzeitlich wurden sämtliche bremsschläuche und bremssättel erneuert.
928;erneuern;bremsschläuche;zwischenzeitlich wurden sämtliche bremsschläuche und bremssättel erneuert.
929;können;bremskraftverstärker;kann das am bremskraftverstärker liegen?
930;müsstest;abfall;möglich ist das schon, dann müsstest du aber auch einen massiven abfall im behälter haben.  
931;müsstest;behälter;möglich ist das schon, dann müsstest du aber auch einen massiven abfall im behälter haben.  
932;ral;ral;moin ral 6014
933;ral;moin;moin ral 6014
934;ral;moin ral;moin ral 6014
935;defekt sein;belüftungs;es wäre auch möglich, das dass belüftungs bzw entlüftungsrohr am bremskraftverstärker defekt ist.
936;defekt sein;entlüftungsrohr;es wäre auch möglich, das dass belüftungs bzw entlüftungsrohr am bremskraftverstärker defekt ist.
937;defekt sein;bremskraftverstärker;es wäre auch möglich, das dass belüftungs bzw entlüftungsrohr am bremskraftverstärker defekt ist.
938;stefan;gruß stefan;"gruß stefan ;"
939;stefan;stefan;"gruß stefan ;"
940;stefan;gruß;"gruß stefan ;"
941;drucklos zurückfliessen;system;"der ist dafür verantwortlich, dass bei gelöster bremse die flüssigkeit ungehindert in den vorratsbehälter zurückfliessen kann und das system dadurch drucklos wird ;"
942;drucklos zurückfliessen;vorratsbehälter;"der ist dafür verantwortlich, dass bei gelöster bremse die flüssigkeit ungehindert in den vorratsbehälter zurückfliessen kann und das system dadurch drucklos wird ;"
943;drucklos zurückfliessen;gelöster;"der ist dafür verantwortlich, dass bei gelöster bremse die flüssigkeit ungehindert in den vorratsbehälter zurückfliessen kann und das system dadurch drucklos wird ;"
944;drucklos zurückfliessen;flüssigkeit;"der ist dafür verantwortlich, dass bei gelöster bremse die flüssigkeit ungehindert in den vorratsbehälter zurückfliessen kann und das system dadurch drucklos wird ;"
945;können;steuerblock;"das kann solche probleme auch verursachen, der steuerblock ;"
946;können;probleme;"das kann solche probleme auch verursachen, der steuerblock ;"
947;können;alters;"aufrund des alters kann es auch an der korrosion liegen, im leitungssystem, dass die flüssigkeit nicht mehr richtig zirkulieren kann, beim ausgleichsventil ect ;"
948;können;ausgleichsventil;"aufrund des alters kann es auch an der korrosion liegen, im leitungssystem, dass die flüssigkeit nicht mehr richtig zirkulieren kann, beim ausgleichsventil ect ;"
949;können;korrosion;"aufrund des alters kann es auch an der korrosion liegen, im leitungssystem, dass die flüssigkeit nicht mehr richtig zirkulieren kann, beim ausgleichsventil ect ;"
950;können;flüssigkeit;"aufrund des alters kann es auch an der korrosion liegen, im leitungssystem, dass die flüssigkeit nicht mehr richtig zirkulieren kann, beim ausgleichsventil ect ;"
951;können;ect;"aufrund des alters kann es auch an der korrosion liegen, im leitungssystem, dass die flüssigkeit nicht mehr richtig zirkulieren kann, beim ausgleichsventil ect ;"
952;können;leitungssystem;"aufrund des alters kann es auch an der korrosion liegen, im leitungssystem, dass die flüssigkeit nicht mehr richtig zirkulieren kann, beim ausgleichsventil ect ;"
953;können;aufrund;"aufrund des alters kann es auch an der korrosion liegen, im leitungssystem, dass die flüssigkeit nicht mehr richtig zirkulieren kann, beim ausgleichsventil ect ;"
954;zitat;zitat;zitat:
955;schreiben;uhr;@macspeed schrieb am 22. april 2020 um 09:53:29 uhr:
956;schreiben;april;@macspeed schrieb am 22. april 2020 um 09:53:29 uhr:
957;schreiben;@macspeed;@macspeed schrieb am 22. april 2020 um 09:53:29 uhr:
958;tauschen;hauptbremszylinder;"; hauptbremszylinder schon getauscht ?"
959;drucklos zurückfliessen;system;"der ist dafür verantwortlich, dass bei gelöster bremse die flüssigkeit ungehindert in den vorratsbehälter zurückfliessen kann und das system dadurch drucklos wird ;"
960;drucklos zurückfliessen;vorratsbehälter;"der ist dafür verantwortlich, dass bei gelöster bremse die flüssigkeit ungehindert in den vorratsbehälter zurückfliessen kann und das system dadurch drucklos wird ;"
961;drucklos zurückfliessen;gelöster;"der ist dafür verantwortlich, dass bei gelöster bremse die flüssigkeit ungehindert in den vorratsbehälter zurückfliessen kann und das system dadurch drucklos wird ;"
962;drucklos zurückfliessen;flüssigkeit;"der ist dafür verantwortlich, dass bei gelöster bremse die flüssigkeit ungehindert in den vorratsbehälter zurückfliessen kann und das system dadurch drucklos wird ;"
963;können;steuerblock;"das kann solche probleme auch verursachen, der steuerblock ;"
964;können;probleme;"das kann solche probleme auch verursachen, der steuerblock ;"
965;können;alters;"aufrund des alters kann es auch an der korrosion liegen, im leitungssystem, dass die flüssigkeit nicht mehr richtig zirkulieren kann, beim ausgleichsventil ect ;"
966;können;ausgleichsventil;"aufrund des alters kann es auch an der korrosion liegen, im leitungssystem, dass die flüssigkeit nicht mehr richtig zirkulieren kann, beim ausgleichsventil ect ;"
967;können;korrosion;"aufrund des alters kann es auch an der korrosion liegen, im leitungssystem, dass die flüssigkeit nicht mehr richtig zirkulieren kann, beim ausgleichsventil ect ;"
